종목코드,종목명
A000020,동화약품
A000040,KR모터스
A000050,경방
A000070,삼양홀딩스
A000080,하이트진로
A000100,유한양행
A000120,CJ대한통운
A000140,하이트진로홀딩스
A000150,두산
A000180,성창기업지주
A0001A0,덕양에너젠
A000210,DL
A000220,유유제약
A000230,일동홀딩스
A000240,한국앤컴퍼니
A000250,삼천당제약
A000270,기아
A000300,DH오토넥스
A000320,노루홀딩스
A000370,한화손해보험
A000400,롯데손해보험
A000430,대원강업
A000440,중앙에너비스
A000490,대동
A0004V0,엔비알모션
A000500,가온전선
A000520,삼일제약
A000540,흥국화재
A000590,CS홀딩스
A000640,동아쏘시오홀딩스
A000650,천일고속
A000660,SK하이닉스
A000670,영풍
A000680,LS네트웍스
A000700,유수홀딩스
A000720,현대건설
A000760,이화산업
A0007C0,아크릴
A000850,화천기공
A000860,강남제비스코
A000880,한화
A000890,보해양조
A0008Z0,에스엔시스
A000910,유니온
A000950,전방
A000990,DB하이텍
A0009K0,에임드바이오
A001000,신라섬유
A001020,페이퍼코리아
A001040,CJ
A001060,JW중외제약
A001070,대한방직
A001080,만호제강
A0010V0,제이피아이헬스케어
A001120,LX인터내셔널
A001130,대한제분
A001210,금호전기
A001230,동국홀딩스
A001250,GS글로벌
A001260,남광토건
A001270,부국증권
A001290,상상인증권
A001340,PKC
A001360,삼성제약
A001380,SG글로벌
A001390,KG케미칼
A0013V0,삼진식품
A001420,태원물산
A001430,세아베스틸지주
A001440,대한전선
A001450,현대해상
A001460,BYC
A001470,삼부토건
A001500,현대차증권
A001510,SK증권
A001520,동양
A001540,안국약품
A001550,조비
A001560,제일연마
A001570,금양
A0015G0,그린광학
A0015N0,아로마티카
A0015S0,페스카로
A001620,케이비아이동국실업
A001630,종근당홀딩스
A001680,대상
A001720,신영증권
A001740,SK네트웍스
A001750,한양증권
A001770,SHD
A001780,알루코
A001790,대한제당
A001800,오리온홀딩스
A001810,무림SP
A001840,이화공영
A001940,KISCO홀딩스
A002020,코오롱
A002030,아세아
A002070,비비안
A002100,경농
A002140,고려산업
A002150,도화엔지니어링
A002170,삼양통상
A002210,동성제약
A002220,한일철강
A002230,피에스텍
A002240,고려제강
A002290,삼일기업공사
A002310,아세아제지
A002320,한진
A002350,넥센타이어
A002360,SH에너지화학
A002390,한독
A002410,범양건영
A002420,세기상사
A002450,삼익악기
A002460,HS화성
A002600,조흥
A002620,제일파마홀딩스
A002630,오리엔트바이오
A002680,한탑
A002690,동일제강
A002700,신일전자
A002710,TCC스틸
A002720,국제약품
A002760,보락
A002780,진흥기업
A002790,아모레퍼시픽홀딩스
A002800,신신제약
A002810,삼영무역
A002820,SUN&L
A002840,미원상사
A002870,신풍
A002880,대유에이텍
A002900,TYM
A002920,유성기업
A002960,한국쉘석유
A002990,금호건설
A003000,부광약품
A003010,혜인
A003030,세아제강지주
A003060,에이프로젠바이오로직스
A003070,코오롱글로벌
A003080,SB성보
A003090,대웅
A003100,선광
A003120,일성아이에스
